Time [s],Main Spindle Power [W],Hydraulic Cooling Unit [W],Electrical Cabinet Cooler Left [W],Electrical Cabinet Cooler Right [W],Mist Extractor [W],Auxiliary System (BFA) [W],Handling Robot [W]
0.0,4191.182821821792,2427.314032798723,546.4116400189247,527.9874198599891,0.9535995936904293,0.06517743950460363,-0.5236096069928678
0.1,4177.439152983662,2423.616123629862,546.6131937794808,527.7333179932971,-0.7520988579128393,-0.942326779748389,-0.07621079624261756
0.2,4153.375427772213,2421.9341061100745,546.5993853045953,529.0064186325862,0.21965841011424478,0.017274675878027737,-0.6903172211530164
0.3,4194.504823181218,2419.5707871029795,547.3622784068325,527.9420260058607,0.6134700379702878,0.19223328930868253,-0.09269679741248674
0.4,4196.906705260006,2419.2579850019056,546.1063523661829,528.565114677517,0.043551937455887695,0.020630339756813623,0.24647148233905902
0.5,4195.841372101274,2418.620707188038,547.213676679859,527.3547698207585,0.20462989279069319,-0.002266823526487026,0.6863848180624709
0.6,4176.204646721766,2415.638930091468,547.9020928510776,527.3136324208672,-0.6614971673409054,0.3672903735691291,-0.3031725576610715
0.7,4175.935356000652,2417.8324632851136,547.0219729877199,529.0809389379034,-0.5728013007141242,-0.10755407794282784,-0.029555481045663922
0.8,4169.020463173748,2416.1827076082236,547.5280586019476,529.7658438473042,0.21656553676774118,0.532723062675404,-0.15549858645482542
0.9,4170.719459608666,2417.9384926198927,547.3235852545229,529.1419860674281,0.9252143555173121,-0.03499995717036586,-0.49989935509148853
1.0,4148.846011456578,2419.0507828437444,547.2938203176078,528.791405785292,0.79980289651796,-0.2945827714827373,-0.17010747212446437
1.1,4153.104449794699,2420.1320330972844,548.1635958663948,527.3614889734671,-0.8562568482101902,-0.08740351694070854,0.04109615541340794
1.2,4152.639786548721,2420.845599951597,548.6831595411378,527.7856893512851,-0.16896953398721754,-0.1262276236829677,0.7542397797512009
1.3,4154.07195507014,2423.213546259494,547.5193195157755,528.5592804041366,0.06111011253083947,-0.44272047678170684,-0.06694196666046504
1.4,4161.233224142872,2425.7677075623646,546.8105156525644,527.8134040735503,0.0006806035062192164,-0.501557094212694,-0.18455032208184882
1.5,4163.904187030819,2428.759396963528,546.9330436695152,528.0370205378164,0.6318061965166163,0.17622490244513242,0.43334364194931335
1.6,4164.702086923552,2429.9492629073075,548.6085555519654,527.6283401589625,0.5634127967783258,0.13564456544208925,-0.1688932490349628
1.7,4164.173143523071,2429.62802114231,547.0772465086527,526.3249370762738,-0.5747581792415133,-0.5550993425983719,0.026146358405103345
1.8,4161.269079908329,2434.0544098722644,547.4814933240866,527.0755755598994,0.5209335072658454,0.4396807761393406,0.5880308650430043
