Time [s],Main Spindle Power [W],Hydraulic Cooling Unit [W],Electrical Cabinet Cooler Left [W],Electrical Cabinet Cooler Right [W],Mist Extractor [W],Auxiliary System (BFA) [W],Handling Robot [W]
0.0,4243.615326325835,2428.2130759092984,546.2381388710869,528.1850158382146,0.6626873196053018,0.3809912825810605,0.16432721848664927
0.1,4230.052916890016,2424.4824548932847,546.4698705860072,528.7557307303216,-0.07159135194684299,-0.1146473030389942,0.5056239751243625
0.2,4206.627641219323,2420.9316389310047,546.3239728243794,529.555367645863,0.07641376900655684,0.496402094131542,-0.0073545381816625096
0.3,4246.027112430476,2419.8796157938514,546.9207497203059,527.6365282480338,0.24797845735663263,-0.09367257062109854,0.014970484830984631
0.4,4248.556974827674,2419.449085911011,546.6356904466355,528.63025523792,0.031584333554574566,0.5495805554524101,0.47422648841279924
0.5,4248.1525228102455,2417.4259911028435,546.9676919637673,527.9776499349155,-0.6776403766701092,-0.1854059960021905,-0.14330628657506628
0.6,4229.202886377273,2416.447948879994,547.2363422069326,527.6009460357186,-0.2769027259725594,0.13329197466433035,-0.7232980087550428
0.7,4229.501811315022,2416.848412772859,546.2525582152406,528.0891370113559,0.06829970358349928,-0.011474454288338553,0.2566337824704865
0.8,4222.015350430908,2416.117576827099,547.174122703068,529.2116538694307,0.5351200645317251,0.2565548600232825,-0.29753834550505354
0.9,4224.002973882361,2417.574518457616,547.9819307838675,529.6569731078448,0.6435863196237447,0.1918141546799161,-0.844953742220867
1.0,4201.573709375878,2419.768564855306,547.2770700039023,528.8563407360898,-0.14762048403862685,-0.4579802894888828,0.16100937648392868
1.1,4206.86626920712,2419.497785739534,546.914307348709,528.3189818208474,0.20996953504652516,0.2093215160371717,-0.4710442888320247
1.2,4204.181784053074,2420.107038294331,548.2597722798563,528.8545454554455,0.15159439829102833,0.172179215866004,-0.7161037803610235
1.3,4206.321852550852,2423.5965257436596,548.6043370291263,527.4546214843418,0.20459982997389584,-0.24746912670309815,0.5720246663305513
1.4,4212.577333226149,2425.8679826221055,546.7807644178247,527.3419810846156,-0.9745023616424437,-0.25248620578382447,0.8120344808165944
1.5,4216.860828367967,2427.5300597676687,546.6447042779498,527.8503994562952,-0.08822348697056816,-0.46775568206203955,-0.42413623240815057
1.6,4217.109230605915,2429.658191807446,548.5498620729821,528.8780746843812,-0.18067748748706547,-0.19892729130521827,-0.07976838541833248
1.7,4216.168668702366,2428.7175449553206,547.5892792022286,527.7402956423749,-0.22298191708990717,0.1807203798389593,0.6475275912162449
1.8,4212.06504265579,2433.1978678789205,547.1064173735936,526.1687246202921,-0.48748377858757586,0.355625109125703,-0.21575034242520855
1.9,4210.567420740919,2434.4203801386934,547.8369023944938,526.2848898436288,-0.37748290594173256,0.6714236751094665,0.03377384599693197
2.0,4211.127176517925,2440.3069229727794,549.0899450883277,526.7740747176147,0.30450963821656346,-0.8332461207439552,-0.43638362336938
2.1,4209.288470621126,2437.9462838680374,547.5419757026351,526.224346697294,0.35639987141117613,-0.9756952516875359,0.15094196153230302
2.2,4213.7560160889925,2437.8686210083542,546.6444534875828,525.5974706868888,0.12449932381309055,-0.655746370554014,-0.44386617692622593
2.3,4227.657340387917,2436.395688543181,547.979612947897,525.5653546321562,-0.4271422155449031,-0.2517628307644303,-0.2601549582766586
2.4,4225.832069107699,2433.9906452993273,545.5074386267016,525.3963981345252,0.5599433524593151,-0.3511995063474131,-0.2632661757495512
2.5,4225.337993965239,2433.596599234343,544.7512176433895,525.6225600710965,-0.39398323232943394,-0.6520691666451084,-0.1532865220563144
5.2,4226.648756631173,2425.6145674871345,544.5955774901565,524.4461866626584,-0.0542438868848861,0.6288381907033277,-0.22049412682415892
5.4,4228.923094829933,2426.0231438309065,543.1529432281156,524.4573889508355,-0.9432286793996347,0.6840234850142851,0.5313965678567923
5.6,4228.605539622532,2416.527521913176,542.3328095885312,525.6980117861317,0.14853892086780673,0.037069006678146166,-0.31341593493629344
5.8,4247.648115505786,2415.915848715056,543.1579200660635,525.634324357283,-0.24971674048183037,0.9559265493232811,-0.055646300333258715
6.0,4249.446151687846,2411.498967163449,541.5451768271707,525.0130929560199,-0.48050796425752157,-0.21747413908589272,0.27941895069215805
6.2,4246.447207010436,2410.809346614676,540.0780229779566,524.7667286431541,-0.030878659803890877,-0.14857867423789026,0.8796137976044225
6.4,4226.185133742108,2409.709303971474,539.646647240595,525.2963022334279,-0.04694992384530383,-0.24979151760767335,-0.05140530843438173
6.6,4223.693767940516,2409.4243477303316,540.1100517079728,525.3075163043341,0.27479384036012194,-1.5335264389999104,0.26195815192860744
6.8,4223.094380569796,2413.7872517604706,538.5962443354706,525.4433690170866,-0.719439270912273,0.0215997735888745,0.38602092309129565
7.0,4224.246513633982,2412.640665859799,539.1272923833019,525.3279637811919,0.513997957353567,0.28005753021826335,-0.5586724820013492
7.2,4224.111830758513,2419.610908942662,538.2725635007515,525.5466215639661,-0.38254107878859667,0.39879825241380235,0.032814625719502166
7.4,4204.501800058849,2427.3575808075166,538.3262656901587,523.0904712936606,0.6459737792998976,-0.7386160574088969,0.48015314720472496
7.6,4204.55499889577,2427.8199431701955,535.0107744589191,524.0505078118673,0.34817775263780354,-0.7955736402174199,-0.8388994008422953
7.8,4201.613012330533,2437.399798682317,534.4819876541005,524.0972840297837,-0.08596796197331703,0.25444708277397077,0.4777171624094197
8.0,4196.5874327669035,2441.7025640890834,535.4015866750901,525.2766352376373,-0.3233808801598609,0.16669213850523124,0.41234705662764876
8.2,4195.793459987359,2445.351101603602,533.7875532216688,524.2215263136867,-0.24353677052256947,0.5240040905985333,-0.07606534545765016
8.4,4197.8487860948335,2446.8214738011607,532.3526509024663,524.8596217236486,-0.5821343386676602,-0.17432763932686193,1.1845247987485166
8.6,4197.924731561294,2450.070717921327,533.2297762728956,524.3964601202766,0.19499875115081805,-0.25851148657794776,0.9381798312792506
8.8,4193.713019845323,2449.24097211432,531.1697778610677,523.4272834255122,-0.24353663651329469,-0.20082266619820602,-0.27613445305798046
9.0,4192.0160083948895,2447.3694813713428,531.078289347648,523.7106130803529,-0.3498048651203918,0.14304365591128299,0.07460188370706332
9.2,4194.277155274727,2445.5992691786496,529.5035118670183,525.088477592559,1.1302364205204294,-0.8471592343312444,0.21301005978913756
9.4,4191.956198222675,2444.6244560005334,529.228048504234,525.0333994020949,-0.37843982080376004,-0.11298028731490743,-0.36010088831138026
9.6,4192.809542075476,2441.405171667299,528.5753160375025,523.7579264124557,-0.3929239204963203,0.3397428300191932,0.3908380843433503
9.8,4196.117126035732,2436.6832350102973,527.8630267895277,523.0017462161965,0.20198168494525492,0.8000494408740231,0.15834620383066114
10.0,4195.6304763071,2436.5112156909236,527.63648381961,524.9195013905885,-0.033083190063225375,-0.3928167737838769,0.6394930702608116
10.2,4192.974684771388,2434.630263619811,526.9923831212242,524.0366253313704,-0.1628311265658303,0.0663761501380521,-0.4049862075684357
10.4,4193.596824285015,2430.776463739083,527.273139321155,522.9573908049558,0.680316711310262,0.17491939600118697,-0.017393868093687093
10.6,4193.674345443789,2430.6877657269283,526.7438091432075,523.1288421252144,0.9183077547054574,0.09757816952223923,0.045030111341134146
10.8,4191.658978113545,2427.217280319289,526.4867473437532,524.781122221863,0.5993239706129092,-0.058307144954729426,0.7985200990307529
11.0,4188.280764165685,2426.353973769781,526.8060043446843,524.6694426147944,-0.01493276911592285,0.8982712738461109,-1.154355587214981
11.2,4192.071557678972,2427.4791701818067,526.475760630931,523.5109385831165,-0.30488408664732186,-0.38909779175493875,-0.46697056584915436
11.4,4195.6915591273155,2427.213633759139,527.6961188106771,523.9070037203076,-0.20771383278998026,0.36277072265185156,-0.24014936552689184
11.6,4192.92818599079,2427.2227092933567,528.1737928030195,524.1534213802237,0.5510839265279538,-0.22674121430514663,0.7425448195638461
11.8,4193.425990108643,2427.102098386067,525.6314710527081,523.2939268166652,-1.0943223005938596,0.18813062296889635,-0.07279786145923627
12.0,4192.531378425034,2427.446754216514,526.5424824995831,522.6540833223377,0.5146526947247116,-0.025931868955902115,-0.21581906834624606
12.2,4191.792657137877,2429.6655006036517,526.321940978103,524.6666553671214,-0.20021081226273163,0.587057034089884,-0.5190966569264005
12.4,4188.945060727594,2430.274108317373,525.5575737126147,523.3584925168141,0.3789397668118657,-0.3494465091408732,-0.6342263942668717
12.6,4188.229342354053,2430.5355595414176,526.9168572140428,522.3769468191912,0.045268840048856895,-0.06627764683017036,0.4625836135626527
12.8,4191.018534950551,2435.835955884279,527.5045892584791,522.5549540217714,0.26379922397703853,0.6170694499825444,-0.45589236940756606
13.0,4185.987917826798,2436.316309269791,526.7203647273814,523.2903413102208,0.36654093990105563,-0.6180916929118511,0.2751359962791876
13.2,4186.429064819678,2438.4149567701015,524.6890108094408,523.4287433708182,0.6993067500464828,0.3188066108410363,0.2581946111134205
13.4,4186.040021876644,2440.6323544804595,525.4466622539398,522.1044315457372,0.24873463724877912,0.07795656623403575,0.07702821065503616
13.6,4191.508067760445,2442.0578629775773,526.4983001037518,523.8640703602472,-0.8712571986212585,0.12627716790717544,-0.1355008098844877
13.8,4192.209834307262,2447.7671495670525,525.9398070037502,522.1072599228327,0.052527345786674055,-0.05286967459701925,-0.7068999385195044
14.0,4195.197395773265,2446.6731014463335,526.2908682526992,521.3033575533238,0.34835461288882497,0.3021714309331198,-0.05039144400545128
14.2,4198.08394137978,2449.7561952418123,525.484082656186,520.5582931300346,0.9872070145433397,0.7066732281487508,0.5607661484082598
14.4,4199.757925734726,2447.8297298485686,524.6171148357571,520.6431205788333,-0.3175520416221658,-0.5965525741509163,0.1554980671361227
14.6,4203.200431746509,2443.7544885901275,523.4227924518143,521.1555611291767,0.11310650634865839,0.4485042376636913,-0.5307426238763189
14.8,4202.021045623864,2439.2505723913,525.4967425031332,521.319316621931,0.3058636143865929,-0.05884774452392513,0.3084427296989246
15.0,4203.80543219836,2439.1184495691136,524.7297306089947,520.5563917913149,-0.09834832573280675,0.13345581647893526,-0.17932317235018067
15.2,4195.295056689235,2435.3599517807907,523.7771532391586,520.6436142521596,-0.6040750473996237,-0.0013204353902286344,-0.12847076018384182
15.4,4196.408644525585,2430.311358761613,523.3874987612298,520.4859158578842,0.3699497731330911,-0.08343231745793338,0.5454929618641144
15.6,4199.966587234089,2427.3957887825422,522.9800422096886,521.1812217375659,1.0501526164961725,0.4097778615173947,0.04992295568365491
15.8,4199.338492022191,2422.1484565876835,523.440919480444,521.5138357825024,0.38165749458578613,-0.33056631088919175,0.08759371502911494
16.0,4191.064771171843,2416.552050302472,523.638960793182,521.9629926550028,0.9786789261763482,1.210179765518432,-0.44676279597966323
16.2,4191.152234540408,2417.6595508351247,523.309406516213,520.7602700675131,0.10746739452469935,-0.42949958280904915,0.02063599823961982
16.4,4184.493605359199,2420.6108405872187,522.5010760465559,521.0410366724986,1.0948329000279133,-0.2772780295608121,-0.20550281162306455
16.6,4184.482528641186,2419.9724317835708,522.8436068247903,521.0446182830135,-0.6957656073169689,-0.12260954627313629,-0.3228367897359076
16.8,4183.312732983885,2423.6468124133426,522.8767409001752,520.7012813369862,0.6295843736216891,-0.9344400548485245,0.35763649316584856
17.0,4185.214667857071,2430.986818452567,521.2019933883217,522.9243502510822,-0.4152606821941751,0.07271291617987798,0.06096718131119902
17.2,4184.397249785261,2435.886890997024,523.5474899732278,520.5414546516428,-1.0120045525149877,-0.4049992576260453,0.04912569526883732
17.4,4180.922755946556,2439.3597376901403,521.9136554281982,521.767834671217,-0.8614245093893395,0.37861642033872017,-0.37388677170129114
